filename,celebrity_name
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/098_5cb67f9d.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/036_0be99621.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/062_5db87e94.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/017_fad27cd4.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/022_9b0e7dc8.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/024_2a9dc3ca.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/069_429fc9ee.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/002_85eab275.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/074_d205687c.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/006_ff6876d9.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/088_2ec116fe.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/057_6aecaa18.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/026_4e67d826.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/021_4d5264fd.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/019_2d261ea3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/081_9f4d7bcb.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/018_3bdca9f6.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/053_62909c7b.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/044_1844df0f.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/066_03ff28be.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/016_e319349e.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/008_d5553651.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/039_80446065.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/064_12d52b76.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/075_31d85976.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/027_ded82a08.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/025_31c04ded.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/009_11c22a3b.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/055_bfeb8aab.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/047_54ea04fa.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/035_79812fd1.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/029_c6e0a7f3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/014_07f2f9cb.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/060_2b7fbba5.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/003_8889ec2c.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/073_812b8d10.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/005_3ba56da0.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/092_4e8dad7c.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/041_efeaa4c3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/034_09baeb19.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/010_cce39614.jpg,Hugh Jackman
